systematic gene name	gene name	total 1		total2		selective 1    		selective 2		ratio 1	ratio 2	average	average [log2]	no. of included values
YAL014C	SYN8	419.79240985471137	included	538.0694927511275	included	502.2232657873108	included	510.1984596821031	included	1.1963609965247548	0.9482017965253503	1.0722813965250526	0.10068355887191426	4 of 4	
YAL015C	NTG1	241.30289633130076	included	264.0127644432202	included	245.15305177414476	included	229.47873753131887	included	1.0159556951092616	0.8691956164137346	0.9425756557614982	-0.08531967405361977	4 of 4	
YAL016C-A	-	0.0	excluded	21.86441113401408	excluded	0.0	excluded	3.851122089889965	excluded	n.a.	0.17613655663009564	n.a.	n.a.	0 of 4	
YAL016C-B	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL016W	TPD3	3090.016340882597	included	2988.8237484138376	included	1867.3433014243217	included	1699.4892788663071	included	0.6043150247195634	0.568614753468893	0.5864648890942282	-0.7698833563623304	4 of 4	
YAL017W	PSK1	336.5763757714973	included	357.81423010952153	included	443.74984016107055	included	415.09533712436115	included	1.3184224208960336	1.1600861625802494	1.2392542917381415	0.3094722551032666	4 of 4	
YAL018C	-	0.0	excluded	3.521109155017605	excluded	2.228157707558695	excluded	0.0	excluded	n.a.	0.0	n.a.	n.a.	0 of 4	
YAL019W	FUN30	893.9748845904854	included	873.0795444216251	included	680.1786019646553	included	708.0008994054807	included	0.7608475514121781	0.8109237055536545	0.7858856284829163	-0.3476087254398146	4 of 4	
YAL019W-A	-	0.0	excluded	0.0	excluded	7.6460990806751	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL020C	ATS1	253.23472051559426	included	333.3668074849304	included	591.5425157025282	included	671.9285622405339	included	2.335945538977152	2.0155832769010993	2.1757644079391256	1.1215223498333056	4 of 4	
YAL021C	CCR4	1334.667497361824	included	1378.0058162803855	included	1658.190711726135	included	1618.4363560818074	included	1.242399859893048	1.17447715892115	1.2084385094070988	0.27314406438985755	4 of 4	
YAL022C	FUN26	478.32202512831816	included	556.2128913484003	included	98.15938008974786	included	111.63049841640533	included	0.20521609905672836	0.20069743106058702	0.20295676505865767	-2.300755665401578	4 of 4	
YAL023C	PMT2	2701.073657794242	included	3266.931404408982	included	731.158224589562	included	649.1167627827718	included	0.2706917016052951	0.19869311057671352	0.2346924060910043	-2.091156933350493	4 of 4	
YAL024C	LTE1	169.77058151557435	included	192.64586481414628	included	210.42746216454094	included	210.06851901189577	included	1.2394813063960486	1.0904387655273986	1.1649600359617236	0.2202804639707408	4 of 4	
YAL025C	MAK16	2644.859308994133	included	2972.527230312434	included	3331.4078600361713	included	3360.072662499932	included	1.2595784768994538	1.1303757382726363	1.1949771075860451	0.25698298047511603	4 of 4	
YAL026C	DRS2	374.98336534164605	included	408.8693254651664	included	245.34053908567458	included	215.3049894060173	included	0.6542704604033452	0.5265863100908024	0.5904283852470738	-0.760166013274297	4 of 4	
YAL026C-A	-	286.25114096637805	excluded	322.35030798606374	excluded	99.50402913207324	excluded	96.93749096127135	excluded	0.3476109433001722	0.30072095034406565	0.32416594682211897	-1.6251955491620662	0 of 4	
YAL027W	SAW1	208.88737386041598	excluded	232.20505336028333	excluded	241.20232405259398	included	191.38018935254746	included	1.1547003516534786	0.8241861517785616	0.9894432517160201	-0.015311129217021845	2 of 4	
YAL028W	FRT2	35.73952043571578	excluded	54.24771193458124	excluded	34.32794955879654	excluded	37.45562032605645	excluded	0.9605039222767912	0.6904553019899747	0.825479612133383	-0.27669551129006437	0 of 4	
YAL029C	MYO4	594.8749125155329	included	581.7389008584704	included	792.5036255017756	included	745.0037542914888	included	1.3322189401979234	1.280649709331951	1.3064343247649373	0.3856346013380354	4 of 4	
YAL030W	SNC1	2049.156170138248	included	2217.9406887639734	included	363.1897063320674	excluded	349.53828459933527	included	0.17723866615181627	0.1575958664585066	0.16741726630516143	-2.578479769339249	3 of 4	
YAL031C	GIP4	262.82228842998956	included	277.54298496002133	included	250.08069135085782	included	241.77050965110877	included	0.9515201044962903	0.8711101442031929	0.9113151243497416	-0.13397808397262156	4 of 4	
YAL031W-A	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL032C	PRP45	382.3138672205092	included	299.0533601816796	included	345.9859834005473	included	401.17544191656526	included	0.9049789010164025	1.3414844818090155	1.123231691412709	0.16765554623850687	4 of 4	
YAL033W	POP5	1120.8761152016807	included	996.1501107177962	included	609.4907715457666	included	546.1289515404316	included	0.5437628327338389	0.5482396133519548	0.5460012230428968	-0.8730239121013084	4 of 4	
